SMILES,ID,pH
CNC(=O)N1C=C(F)C(=O)NC1=O,R549,4
NC1=CC(I)=CC=C1,R550,13
NC1=CC=C(I)C=C1,R551,13
IC1=CC=C(S(=O)(=O)N)C=C1,R552,1.5
IC=1C=C(S(=O)(=O)N)C=CC1,R553,1.5
NNC(=O)C1=CC=NC(I)=C1,R554,7.4
NC(=O)C1=CC=CN=C1,R555,6
NC(=O)C1=CC=CN=C1,R556,7.2
NC(=O)C1=CC=CN=C1,R557,5.2
NC(=O)C1=CC=CN=C1,R558,5.1
ON=CC1=CN=CC=C1,R559,7.2
NC1=CC(=CC=C1)N(=O)=O,R560,13
NC1=CC(=CC=C1)N(=O)=O,R561,7.4
NC1=CC=C(C=C1)N(=O)=O,R562,13
NC1=CC=C(C=C1)N(=O)=O,R563,3
NC1=CC=C(C=C1)N(=O)=O,R564,5.5
NC(=O)C1=C(O)C=CC=N1,R565,1.5
NC(=O)C1=C(O)C=CC=N1,R566,7.4
O=C1NC(=O)C2(CC2)C(=O)N1,R567,3
CN1C(=O)N(C)C(=O)C(=O)C1=O,R568,2
NS(=O)(C1=CC=C(C=C1)N(=O)=O)=O,R569,2
NS(=O)(C1=CC=C(C=C1)N(=O)=O)=O,R570,1.5
NS(=O)(=O)C1=CC=CC=C1N(=O)=O,R571,2
NS(=O)(C1=CC(N(=O)=O)=CC=C1)=O,R572,2
NS(=O)(C1=CC(N(=O)=O)=CC=C1)=O,R573,1.5
NC(=S)C1=CC=CC=N1,R574,7.4
NC(=S)C1=CC=NC=C1,R575,7.4
CN1C=NC2=C1C(=O)NC(=O)N2,R576,3
CN1C(=O)NC2=C(NC=N2)C1=O,R577,3
CN1C2=C(N=CN2)C(=O)NC1=O,R578,3
CN1C2=C(N=CN2)C(=O)NC1=O,R579,7.4
CC(C#N)C1=NC=C(N1)N(=O)=O,R580,7.4
CN1C(=O)NC2=C(NC(=O)N2)C1=O,R581,3
CN1C2=C(NC(=O)N2)C(=O)NC1=O,R582,3
CN1C(=O)NC2=C1C(=O)NC(=O)N2,R583,3
NNC(=O)C1=CC=NC(=C1)N(=O)=O,R584,7.4
O=C1NCCN1C2=NC=C(S2)N(=O)=O,R585,9
